Material Budget Nickel, Material Budget error, mean-squared deviation angle from reference beam, xerror
0.00175561797752809,1.4047108115885915e-05,6.921005792417691,0.02110013835971646
0.0052668539325842695,1.4064410491319685e-05,21.33411905396643,
0.00351123595505618,1.4053599003022186e-05,13.450018202699308,
0.010533707865168539,1.4122649508274546e-05,41.184963363344586,0.00233644170132658
0.00702247191011236,1.4079532627583172e-05,25.222500431270465,
0.024578651685393256,1.4462957861816265e-05,116.34455863882822,0.002507949768262229
0.0175561797752809,1.4259747456571928e-05,80.50120917837889,0.002597824726422432
0.05266853932584269,1.5873877989348968e-05,312.1934303330662,0.0031873568526300656
0.0351123595505618,1.4885571851999255e-05,190.51167132094074,0.002646522704385365
0.10533707865168539,2.0399477173279336e-05,730.5416268469096,0.005141398151914546
0.0702247191011236,1.7162157693726176e-05,433.0837143005932,0.003785964582381681
0.21067415730337077,3.275321869729406e-05,1880.2003055240243,0.010419956694701901
0.1404494382022472,2.4215228392015896e-05,1111.0997383114566,0.006807746382274196
