171 17.179 61.4 1.02e+04
172 17.190 58.2 1.02e+04
173 17.378 69.9 9.05e+03
174 17.478 67.9 9.2e+03
175 17.578 68.8 9.43e+03
176 17.678 73.8 1.02e+04
177 17.778 67.4 9.53e+03
178 17.878 69.8 9.96e+03
179 17.978 70 8.64e+03
180 18.078 60.6 9.35e+03
181 18.178 62.3 9.86e+03
182 18.278 63.3 1.02e+04
183 18.378 63.3 9.08e+03
184 18.478 72.9 7.98e+03
185 18.578 70.5 8.9e+03
186 18.678 61 9.07e+03
187 18.778 67.3 9.73e+03
188 18.878 71.2 9.11e+03
189 18.978 63.5 1.01e+04
190 19.078 64.1 1.02e+04
191 19.178 62.8 9.45e+03
192 19.278 61 8.46e+03
193 19.378 68.7 9.69e+03
194 19.478 72.9 9.78e+03
195 19.578 59.1 1.11e+04
196 19.678 55 1.1e+04
197 19.716 44.7 1.24e+04
198 19.878 36.1 1.44e+04
199 19.978 32.6 1.38e+04
200 20.078 35.5 1.5e+04
201 20.178 34.3 1.36e+04
202 20.278 33.3 1.45e+04
203 20.378 34.4 1.57e+04
204 20.478 32 1.48e+04
205 20.578 33.3 1.57e+04
206 20.678 34.9 1.54e+04
207 20.778 32.8 1.44e+04
208 20.878 32.5 1.55e+04
209 20.978 32.6 1.6e+04
210 21.078 33.9 1.46e+04
211 21.178 32.5 1.46e+04
212 21.278 31.1 1.58e+04
213 21.378 36.6 1.55e+04
214 21.478 34.6 1.59e+04
215 21.578 34.2 1.65e+04
216 21.678 32.6 1.49e+04
217 21.778 31.8 1.51e+04
218 21.866 33.1 1.65e+04
219 21.973 34.7 1.53e+04
220 22.078 33.6 1.51e+04
221 22.178 32.7 1.64e+04
222 22.278 30.1 1.39e+04
223 22.378 34 1.53e+04
224 22.395 31.1 1.43e+04
225 22.578 30.8 1.65e+04
226 22.678 34.2 1.49e+04
227 22.778 33.6 1.47e+04
228 22.878 33.6 1.49e+04
229 22.978 33.3 1.55e+04
230 23.078 34.1 1.42e+04
231 23.178 31.2 1.45e+04
232 23.278 32.1 1.52e+04
233 23.378 35.1 1.58e+04
234 23.478 36.1 1.47e+04
235 23.578 37.6 1.39e+04
236 23.614 34.9 1.37e+04
