Event,Macropulse,Width,Timestamp,Material Thickness
0,0.078,22.3,17600.0,NaN
1,0.178,22.7,19600.0,NaN
2,0.278,23.3,18700.0,NaN
3,0.378,24.0,18300.0,NaN
4,0.478,21.0,19800.0,NaN
5,0.578,22.4,21400.0,NaN
6,0.678,23.3,18200.0,NaN
7,0.778,22.9,21100.0,NaN
8,0.878,23.5,19100.0,NaN
9,0.978,21.7,19300.0,NaN
10,1.078,23.1,18200.0,NaN
11,1.178,22.6,20400.0,NaN
12,1.278,22.3,19400.0,NaN
13,1.378,22.7,19700.0,NaN
14,1.478,21.8,16700.0,NaN
15,1.578,22.9,17900.0,NaN
16,1.678,21.9,20900.0,NaN
17,1.778,22.1,19800.0,NaN
18,1.878,22.8,18500.0,NaN
19,1.978,24.1,18400.0,NaN
20,2.078,23.1,20400.0,NaN
21,2.178,23.4,19300.0,NaN
22,2.278,23.8,18900.0,NaN
23,2.378,23.4,18500.0,NaN
24,2.478,24.1,19000.0,NaN
25,2.57,23.1,20300.0,NaN
26,2.678,22.2,19700.0,NaN
27,2.778,22.7,19700.0,NaN
28,2.878,22.4,20600.0,NaN
29,2.978,23.2,23200.0,NaN
30,3.078,22.8,19200.0,NaN
31,3.178,22.0,20100.0,NaN
32,3.278,21.7,19700.0,NaN
33,3.378,21.8,19600.0,NaN
34,3.478,22.6,18800.0,NaN
35,3.578,23.2,19000.0,NaN
36,3.678,24.1,19700.0,NaN
37,3.778,23.7,18000.0,NaN
38,3.878,21.4,20000.0,NaN
39,3.978,22.4,17200.0,NaN
40,4.078,24.0,19000.0,NaN
41,4.178,21.0,19000.0,NaN
42,4.278,23.5,19400.0,NaN
43,4.378,22.3,18700.0,NaN
44,4.478,21.3,18800.0,NaN
45,4.578,23.1,18400.0,NaN
46,4.678,22.4,19400.0,NaN
47,4.778,22.8,18400.0,NaN
48,4.878,23.2,18000.0,NaN
49,4.978,22.0,19200.0,NaN
50,5.078,21.8,19500.0,NaN
51,5.177,22.8,18800.0,NaN
52,5.277,22.4,20700.0,NaN
53,5.377,22.7,19100.0,NaN
54,5.477,23.9,19200.0,NaN
55,5.577,22.6,20600.0,NaN
56,5.677,23.4,18900.0,NaN
57,5.777,25.1,18100.0,NaN
58,5.877,25.9,14600.0,NaN
59,5.977,26.7,15100.0,NaN
60,6.077,29.3,16800.0,NaN
61,6.177,27.7,16300.0,NaN
62,6.277,26.2,16900.0,NaN
63,6.377,27.8,16700.0,NaN
64,6.477,29.0,15900.0,NaN
65,6.577,30.7,17300.0,NaN
66,6.677,28.6,15000.0,NaN
67,6.777,28.2,15600.0,NaN
68,6.877,26.2,17700.0,NaN
69,6.889,27.3,17900.0,NaN
70,7.077,30.2,16300.0,NaN
71,7.177,27.5,16600.0,NaN
72,7.277,28.0,18400.0,NaN
73,7.378,28.3,17900.0,NaN
74,7.478,28.3,14700.0,NaN
75,7.578,27.8,15400.0,NaN
76,7.678,27.1,17700.0,NaN
77,7.778,27.4,16700.0,NaN
78,7.878,28.2,16900.0,NaN
79,7.978,30.0,18200.0,NaN
80,8.078,28.1,18900.0,NaN
81,8.178,27.6,17800.0,NaN
82,8.278,27.4,17300.0,NaN
83,8.378,28.6,17900.0,NaN
84,8.478,26.7,17900.0,NaN
85,8.578,28.1,16800.0,NaN
86,8.678,29.3,17600.0,NaN
87,8.778,21.3,19800.0,NaN
88,8.878,15.9,28700.0,NaN
89,8.978,15.9,27100.0,NaN
90,9.078,15.2,24900.0,NaN
91,9.178,15.6,26800.0,NaN
92,9.278,15.8,24300.0,NaN
93,9.378,15.5,25900.0,NaN
94,9.478,15.5,26900.0,NaN
95,9.578,15.3,26000.0,NaN
96,9.678,14.5,28200.0,NaN
97,9.778,14.8,27300.0,NaN
98,9.878,15.4,27100.0,NaN
99,9.978,14.3,26700.0,NaN
100,10.078,15.2,27500.0,NaN
101,10.178,15.4,28600.0,NaN
102,10.278,15.1,26900.0,NaN
103,10.378,16.1,24100.0,NaN
104,10.478,14.9,26000.0,NaN
105,10.578,15.0,25300.0,NaN
106,10.678,16.1,25500.0,NaN
107,10.778,16.8,23100.0,NaN
108,10.878,15.6,25800.0,NaN
109,10.978,14.8,28300.0,NaN
110,11.078,14.6,27000.0,NaN
111,11.178,16.2,26500.0,NaN
112,11.278,18.7,23300.0,NaN
113,11.378,19.9,19800.0,NaN
114,11.478,19.4,19800.0,NaN
115,11.578,19.1,21800.0,NaN
116,11.678,19.4,22300.0,NaN
117,11.778,18.4,20200.0,NaN
118,11.878,17.7,21000.0,NaN
119,11.978,18.3,21300.0,NaN
120,12.078,20.0,20400.0,NaN
121,12.178,19.3,19900.0,NaN
122,12.278,19.8,21300.0,NaN
123,12.378,18.7,21900.0,NaN
124,12.478,18.6,23900.0,NaN
125,12.578,19.8,21500.0,NaN
126,12.678,18.8,20500.0,NaN
127,12.778,19.8,22800.0,NaN
128,12.878,18.1,22000.0,NaN
129,12.978,18.1,22100.0,NaN
130,13.078,19.4,22400.0,NaN
131,13.178,18.1,25800.0,NaN
132,13.278,20.1,22400.0,NaN
133,13.378,17.9,21800.0,NaN
134,13.478,18.9,22500.0,NaN
135,13.578,18.8,21900.0,NaN
136,13.678,19.7,24000.0,NaN
137,13.778,19.4,24500.0,NaN
138,13.878,18.5,26100.0,NaN
139,13.978,18.3,21500.0,NaN
140,14.078,12.2,32100.0,NaN
141,14.178,11.5,35900.0,NaN
142,14.278,11.4,38000.0,NaN
143,14.378,11.8,35100.0,NaN
144,14.478,11.9,34700.0,NaN
145,14.578,11.2,35500.0,NaN
146,14.678,11.6,36600.0,NaN
147,14.778,11.5,36800.0,NaN
148,14.878,10.8,30900.0,NaN
149,14.978,11.3,33100.0,NaN
150,15.078,11.5,33000.0,NaN
151,15.178,11.8,36200.0,NaN
152,15.278,12.0,37000.0,NaN
153,15.378,11.6,33200.0,NaN
154,15.478,11.7,32400.0,NaN
155,15.578,13.2,31600.0,NaN
156,15.678,13.7,31900.0,NaN
157,15.778,12.4,29400.0,NaN
158,15.878,13.1,28400.0,NaN
159,15.978,13.6,29100.0,NaN
160,16.078,14.0,34100.0,NaN
161,16.178,13.1,29000.0,NaN
162,16.278,12.5,29700.0,NaN
163,16.378,12.6,29100.0,NaN
164,16.478,13.2,30200.0,NaN
